date,product_category,region,quantity,unit_price,customer_id,customer_segment,channel
2024-01-01,电子产品,华北,2,459.00,1001,VIP,线上
2024-01-01,服装,华东,3,129.90,1002,普通,线下
2024-01-01,食品,华南,5,45.50,1003,银卡,线上
2024-01-02,电子产品,华东,1,899.00,1004,金卡,线上
2024-01-02,家居,华北,2,299.00,1005,普通,线下
2024-01-02,服装,华南,4,89.90,1006,银卡,线上
2024-01-03,图书,西南,1,59.80,1007,普通,线下
2024-01-03,电子产品,西北,1,359.00,1008,钻石,线上
2024-01-03,食品,华北,3,35.90,1009,普通,线上
2024-01-04,服装,华东,2,159.90,1010,金卡,线下
2024-01-04,家居,华南,1,459.00,1011,VIP,线上
2024-01-04,电子产品,华北,3,299.00,1012,银卡,线上
2024-01-05,食品,西南,5,29.90,1013,普通,线下
2024-01-05,图书,西北,2,49.00,1014,普通,线上
2024-01-05,服装,华东,1,199.00,1015,金卡,线下
2024-01-06,电子产品,华南,1,1299.00,1016,钻石,线上
2024-01-06,家居,华北,2,199.00,1017,银卡,线上
2024-01-06,食品,华东,4,39.90,1018,普通,线下
2024-01-07,服装,西南,3,99.90,1019,普通,线上
2024-01-07,图书,华南,1,69.80,1020,VIP,线下
2024-01-08,电子产品,华北,2,599.00,1021,金卡,线上
2024-01-08,家居,华东,1,349.00,1022,银卡,线下
2024-01-08,食品,西北,6,25.50,1023,普通,线上
2024-01-09,服装,华南,2,149.00,1024,普通,线上
2024-01-09,电子产品,西南,1,799.00,1025,钻石,线下
2024-01-09,图书,华北,3,39.90,1026,普通,线上
2024-01-10,家居,华东,2,259.00,1027,银卡,线下
2024-01-10,食品,华南,4,42.00,1028,金卡,线上
2024-01-10,服装,华北,1,179.00,1029,VIP,线下
2024-01-11,电子产品,西北,1,499.00,1030,普通,线上
2024-01-11,图书,西南,2,55.00,1031,普通,线上
2024-01-11,家居,华南,1,399.00,1032,金卡,线下
2024-01-12,食品,华东,5,38.90,1033,银卡,线上
2024-01-12,服装,华北,3,119.00,1034,普通,线下
2024-01-12,电子产品,华南,2,699.00,1035,钻石,线上
2024-01-13,图书,西北,1,45.90,1036,普通,线上
2024-01-13,家居,华东,2,289.00,1037,VIP,线下
2024-01-13,食品,华北,4,32.00,1038,银卡,线上
2024-01-14,服装,西南,2,139.00,1039,普通,线下
2024-01-14,电子产品,华南,1,999.00,1040,金卡,线上
2024-01-14,图书,华东,2,65.00,1041,普通,线上
2024-01-15,家居,华北,1,449.00,1042,钻石,线下
2024-01-15,食品,西北,3,48.00,1043,普通,线上
2024-01-15,服装,华南,4,95.00,1044,银卡,线上
