order_id,customer_id,product_id,quantity,price,order_date,category,region,level,status
1,1001,2001,2,199.99,2024-01-01,电子产品,华北,VIP,完成
2,1002,2002,1,59.99,2024-01-02,服装,华东,普通,完成
3,1003,2003,5,19.99,2024-01-03,食品,华南,黄金,完成
4,1004,2004,3,299.99,2024-01-04,家居,西南,VIP,处理中
5,1005,2005,2,49.99,2024-01-05,图书,西北,普通,完成
6,1001,2006,4,89.99,2024-01-06,电子产品,华北,VIP,完成
7,1006,2007,1,499.99,2024-01-07,电子产品,华东,黄金,完成
8,1007,2008,3,29.99,2024-01-08,食品,华南,普通,取消
9,1008,2009,2,159.99,2024-01-09,服装,西南,黄金,完成
10,1009,2010,6,9.99,2024-01-10,食品,西北,普通,完成
11,1010,2001,1,199.99,2024-01-11,电子产品,华北,VIP,完成
12,1002,2011,2,129.99,2024-01-12,家居,华东,普通,处理中
13,1003,2012,4,39.99,2024-01-13,食品,华南,黄金,完成
14,1011,2013,2,79.99,2024-01-14,服装,西南,普通,完成
15,1012,2014,1,399.99,2024-01-15,电子产品,西北,VIP,完成
16,1013,2015,5,14.99,2024-01-16,食品,华北,普通,完成
17,1004,2004,2,299.99,2024-01-17,家居,华东,VIP,完成
18,1014,2016,3,199.99,2024-01-18,电子产品,华南,黄金,处理中
19,1007,2017,2,49.99,2024-01-19,图书,西南,普通,完成
20,1015,2018,4,69.99,2024-01-20,服装,西北,VIP,完成
