customer_id,last_purchase_date,frequency,monetary,age,region,recency_days,R_score,F_score,M_score,RFM_score
1001,2024-06-20,15,5500.00,32,华北,10,5,4,4,544
1002,2024-06-15,8,3200.00,45,华东,15,4,3,3,433
1003,2024-05-20,5,1800.00,28,华南,41,3,2,2,322
1004,2024-06-28,12,8900.00,38,西南,2,5,4,5,545
1005,2024-04-10,3,900.00,55,西北,81,2,1,1,211
1006,2024-06-25,18,12500.00,35,华北,5,5,5,5,555
1007,2024-06-10,10,4200.00,42,华东,20,4,3,4,434
1008,2024-05-01,6,2500.00,26,华南,60,2,2,2,222
1009,2024-06-29,20,15000.00,30,西南,1,5,5,5,555
1010,2024-03-15,2,600.00,60,西北,107,1,1,1,111
1011,2024-06-18,14,6800.00,33,华北,12,5,4,4,544
1012,2024-06-05,9,3800.00,48,华东,25,3,3,3,333
1013,2024-05-25,7,2900.00,29,华南,36,3,2,2,322
1014,2024-06-22,16,9500.00,37,西南,8,5,5,5,555
1015,2024-04-25,4,1200.00,52,西北,66,2,1,1,211
