date,sales,product_category,month
2024-01-01,1250.50,电子产品,2024-01
2024-01-02,1380.25,服装,2024-01
2024-01-03,1150.75,食品,2024-01
2024-01-04,1420.00,家居,2024-01
2024-01-05,1290.50,图书,2024-01
2024-01-06,1550.75,电子产品,2024-01
2024-01-07,1320.00,服装,2024-01
2024-01-08,1180.50,食品,2024-01
2024-01-09,1450.25,家居,2024-01
2024-01-10,1350.00,图书,2024-01
2024-02-01,1680.50,电子产品,2024-02
2024-02-02,1520.25,服装,2024-02
2024-02-03,1380.75,食品,2024-02
2024-02-04,1720.00,家居,2024-02
2024-02-05,1590.50,图书,2024-02
2024-03-01,1850.75,电子产品,2024-03
2024-03-02,1680.00,服装,2024-03
2024-03-03,1520.50,食品,2024-03
2024-03-04,1920.25,家居,2024-03
2024-03-05,1750.00,图书,2024-03
