customer_id,age,gender,region,total_spent,purchase_count,last_purchase_days,is_active,avg_order_value,spending_level,activity_score,age_group
1001,28,男,华北,5500.00,15,10,1,366.67,高,78.38,26-35
1002,45,女,华东,3200.00,8,15,1,400.00,中,73.15,36-45
1003,26,男,华南,1800.00,5,41,0,360.00,低,30.24,18-25
1004,38,女,西南,8900.00,12,2,1,741.67,VIP,85.47,26-35
1005,55,男,西北,900.00,3,81,0,300.00,低,14.68,46-55
1006,35,女,华北,12500.00,18,5,1,694.44,VIP,92.22,26-35
1007,42,男,华东,4200.00,10,20,1,420.00,中,75.78,36-45
1008,29,女,华南,2500.00,6,60,0,416.67,中,20.00,26-35
1009,30,男,西南,15000.00,20,1,1,750.00,VIP,95.00,26-35
1010,60,女,西北,600.00,2,107,0,300.00,低,8.15,55+
